ID,Text,Comment
Tobbert.HorizontalPlatformEnd1x1.DisplayName,"Plataforma lateral 1x1","-"
Tobbert.HorizontalPlatformEnd1x1.Description,"Una plataforma que se puede colocar en el lado de acantilados y la mayoría de los edificios.","-"
Tobbert.HorizontalPlatformEnd1x1.FlavorDescription,"Imagina si pudieras apilar estas sobre sí mismas.","-"
Tobbert.HorizontalPlatformEnd2x1.DisplayName,"Plataforma lateral 2x1","-"
Tobbert.HorizontalPlatformEnd2x1.Description,"Una plataforma que se puede colocar en el lado de acantilados y la mayoría de los edificios.","-"
Tobbert.HorizontalPlatformEnd2x1.FlavorDescription,"¡El doble de plataformas, el doble de diversión!","-"
Tobbert.HorizontalPlatformEnd3x1.DisplayName,"Plataforma lateral 3x1","-"
Tobbert.HorizontalPlatformEnd3x1.Description,"Una plataforma que se puede colocar en el lado de acantilados y la mayoría de los edificios.","-"
Tobbert.HorizontalPlatformEnd3x1.FlavorDescription,"Esto es para los chicos laaaaaargos.","-"
Tobbert.HorizontalPlatformEnd4x1.DisplayName,"Plataforma lateral 4x1","-"
Tobbert.HorizontalPlatformEnd4x1.Description,"Una plataforma que se puede colocar en el lado de acantilados y la mayoría de los edificios.","-"
Tobbert.HorizontalPlatformEnd4x1.FlavorDescription,"Así no funciona la física.","-"
Tobbert.ReinforcedPlatform.DisplayName,"Plataforma Reforzada","-"
Tobbert.ReinforcedPlatform.Description,"Una plataforma que se puede usar en combinación con las Plataformas Laterales. Sirve como una opción más estética que los malecones.","-"
Tobbert.ReinforcedPlatform.FlavorDescription,"¡Apílalo hasta la cima!","-"
Tobbert.DoubleReinforcedPlatform.DisplayName,"Plataforma Doblemente Reforzada","-"
Tobbert.DoubleReinforcedPlatform.Description,"Una plataforma que se puede usar en combinación con las Plataformas Laterales. Sirve como una opción más estética que los malecones.","-"
Tobbert.DoubleReinforcedPlatform.FlavorDescription,"¡Apila, apílalo hasta la cima!","-"
Tobbert.TripleReinforcedPlatform.DisplayName,"Plataforma Triplemente Reforzada","-"
Tobbert.TripleReinforcedPlatform.Description,"Una plataforma que se puede usar en combinación con las Plataformas Laterales. Sirve como una opción más estética que los malecones.","-"
Tobbert.TripleReinforcedPlatform.FlavorDescription,"¡Apila, apila, apílalo hasta la cima!","-"
Tobbert.CategoryReinforcedPlatforms.DisplayName,"Plataformas Reforzadas","-"
Tobbert.CategorySidePlatforms.DisplayName,"Más Plataformas","-"
Tobbert.DynamiteBlocker.SidePlatformAttached,"No se puede colocar dinamita aquí: hay una plataforma lateral unida a este terreno.","-"
