ID,Text,Comment
Tobbert.HorizontalPlatformEnd1x1.DisplayName,"Piattaforma laterale 1x1","-"
Tobbert.HorizontalPlatformEnd1x1.Description,"Una piattaforma che può essere posizionata sul lato di scogliere e della maggior parte degli edifici.","-"
Tobbert.HorizontalPlatformEnd1x1.FlavorDescription,"Immagina se potessi impilarle su sé stesse.","-"
Tobbert.HorizontalPlatformEnd2x1.DisplayName,"Piattaforma laterale 2x1","-"
Tobbert.HorizontalPlatformEnd2x1.Description,"Una piattaforma che può essere posizionata sul lato di scogliere e della maggior parte degli edifici.","-"
Tobbert.HorizontalPlatformEnd2x1.FlavorDescription,"Doppie piattaforme, doppio divertimento!","-"
Tobbert.HorizontalPlatformEnd3x1.DisplayName,"Piattaforma laterale 3x1","-"
Tobbert.HorizontalPlatformEnd3x1.Description,"Una piattaforma che può essere posizionata sul lato di scogliere e della maggior parte degli edifici.","-"
Tobbert.HorizontalPlatformEnd3x1.FlavorDescription,"Questo è per i ragazzi luuuuunghi.","-"
Tobbert.HorizontalPlatformEnd4x1.DisplayName,"Piattaforma laterale 4x1","-"
Tobbert.HorizontalPlatformEnd4x1.Description,"Una piattaforma che può essere posizionata sul lato di scogliere e della maggior parte degli edifici.","-"
Tobbert.HorizontalPlatformEnd4x1.FlavorDescription,"Non è così che funziona la fisica.","-"
Tobbert.ReinforcedPlatform.DisplayName,"Piattaforma Rinforzata","-"
Tobbert.ReinforcedPlatform.Description,"Una piattaforma che può essere utilizzata in combinazione con le Piattaforme Laterali. Serve come opzione più estetica rispetto agli argini.","-"
Tobbert.ReinforcedPlatform.FlavorDescription,"Impilala fino in cima!","-"
Tobbert.DoubleReinforcedPlatform.DisplayName,"Piattaforma Doppiamente Rinforzata","-"
Tobbert.DoubleReinforcedPlatform.Description,"Una piattaforma che può essere utilizzata in combinazione con le Piattaforme Laterali. Serve come opzione più estetica rispetto agli argini.","-"
Tobbert.DoubleReinforcedPlatform.FlavorDescription,"Impila, impilala fino in cima!","-"
Tobbert.TripleReinforcedPlatform.DisplayName,"Piattaforma Triplicemente Rinforzata","-"
Tobbert.TripleReinforcedPlatform.Description,"Una piattaforma che può essere utilizzata in combinazione con le Piattaforme Laterali. Serve come opzione più estetica rispetto agli argini.","-"
Tobbert.TripleReinforcedPlatform.FlavorDescription,"Impila, impila, impilala fino in cima!","-"
Tobbert.CategoryReinforcedPlatforms.DisplayName,"Piattaforme Rinforzate","-"
Tobbert.CategorySidePlatforms.DisplayName,"Più Piattaforme","-"
Tobbert.DynamiteBlocker.SidePlatformAttached,"Impossibile posizionare la dinamite qui: una piattaforma laterale è attaccata a questo terreno.","-"
