ID,Text,Comment
Tobbert.HorizontalPlatformEnd1x1.DisplayName,"Plataforma Lateral 1x1","-"
Tobbert.HorizontalPlatformEnd1x1.Description,"Uma plataforma que pode ser colocada ao lado de penhascos, diques, plataformas reforçadas ou Peças Centrais de Plataforma.","-"
Tobbert.HorizontalPlatformEnd1x1.FlavorDescription,"Imagine se você pudesse empilhá-las sobre si mesmas.","-"
Tobbert.HorizontalPlatformEnd2x1.DisplayName,"Plataforma Lateral 2x1","-"
Tobbert.HorizontalPlatformEnd2x1.Description,"Uma plataforma que pode ser colocada ao lado de penhascos, plataformas reforçadas ou Peças Centrais de Plataforma.","-"
Tobbert.HorizontalPlatformEnd2x1.FlavorDescription,"Dobre as plataformas, dobre a diversão!","-"
Tobbert.HorizontalPlatformEnd3x1.DisplayName,"Plataforma Lateral 3x1","-"
Tobbert.HorizontalPlatformEnd3x1.Description,"Uma plataforma que pode ser colocada ao lado de penhascos, plataformas reforçadas ou Peças Centrais de Plataforma.","-"
Tobbert.HorizontalPlatformEnd3x1.FlavorDescription,"Isto é para os caras compriiiidos.","-"
Tobbert.HorizontalPlatformEnd4x1.DisplayName,"Plataforma Lateral 4x1","-"
Tobbert.HorizontalPlatformEnd4x1.Description,"Uma plataforma que pode ser colocada ao lado de penhascos, plataformas reforçadas ou Peças Centrais de Plataforma.","-"
Tobbert.HorizontalPlatformEnd4x1.FlavorDescription,"Não é assim que a física funciona.","-"
Tobbert.ReinforcedPlatform.DisplayName,"Plataforma Reforçada","-"
Tobbert.ReinforcedPlatform.Description,"Uma plataforma que pode ser usada em combinação com as Plataformas Laterais. Serve como uma opção mais bonita que diques.","-"
Tobbert.ReinforcedPlatform.FlavorDescription,"Empilhe até o topo!","-"
Tobbert.DoubleReinforcedPlatform.DisplayName,"Plataforma Duplamente Reforçada","-"
Tobbert.DoubleReinforcedPlatform.Description,"Uma plataforma que pode ser usada em combinação com as Plataformas Laterais. Serve como uma opção mais bonita que diques.","-"
Tobbert.DoubleReinforcedPlatform.FlavorDescription,"Empilhe, empilhe até o topo!","-"
Tobbert.TripleReinforcedPlatform.DisplayName,"Plataforma Triplamente Reforçada","-"
Tobbert.TripleReinforcedPlatform.Description,"Uma plataforma que pode ser usada em combinação com as Plataformas Laterais. Serve como uma opção mais bonita que diques.","-"
Tobbert.TripleReinforcedPlatform.FlavorDescription,"Empilhe, empilhe, empilhe até o topo!","-"
Tobbert.CategoryReinforcedPlatforms.DisplayName,"Plataformas Reforçadas","-"
Tobbert.CategorySidePlatforms.DisplayName,"Plataformas Laterais","-"
