ID,Text,Comment
Tobbert.HorizontalPlatformEnd1x1.DisplayName,"Боковая платформа 1x1","-"
Tobbert.HorizontalPlatformEnd1x1.Description,"Платформа, которую можно разместить сбоку от скал и большинства зданий.","-"
Tobbert.HorizontalPlatformEnd1x1.FlavorDescription,"Представьте, если бы вы могли складывать их друг на друга.","-"
Tobbert.HorizontalPlatformEnd2x1.DisplayName,"Боковая платформа 2x1","-"
Tobbert.HorizontalPlatformEnd2x1.Description,"Платформа, которую можно разместить сбоку от скал и большинства зданий.","-"
Tobbert.HorizontalPlatformEnd2x1.FlavorDescription,"Двойные платформы — двойное удовольствие!","-"
Tobbert.HorizontalPlatformEnd3x1.DisplayName,"Боковая платформа 3x1","-"
Tobbert.HorizontalPlatformEnd3x1.Description,"Платформа, которую можно разместить сбоку от скал и большинства зданий.","-"
Tobbert.HorizontalPlatformEnd3x1.FlavorDescription,"Это для длииииинных парней.","-"
Tobbert.HorizontalPlatformEnd4x1.DisplayName,"Боковая платформа 4x1","-"
Tobbert.HorizontalPlatformEnd4x1.Description,"Платформа, которую можно разместить сбоку от скал и большинства зданий.","-"
Tobbert.HorizontalPlatformEnd4x1.FlavorDescription,"Физика так не работает.","-"
Tobbert.ReinforcedPlatform.DisplayName,"Усиленная Платформа","-"
Tobbert.ReinforcedPlatform.Description,"Платформа, которую можно использовать в сочетании с Боковыми Платформами. Служит более эстетичной альтернативой дамбам.","-"
Tobbert.ReinforcedPlatform.FlavorDescription,"Сложите до самого верха!","-"
Tobbert.DoubleReinforcedPlatform.DisplayName,"Двойная Усиленная Платформа","-"
Tobbert.DoubleReinforcedPlatform.Description,"Платформа, которую можно использовать в сочетании с Боковыми Платформами. Служит более эстетичной альтернативой дамбам.","-"
Tobbert.DoubleReinforcedPlatform.FlavorDescription,"Складывайте, складывайте до самого верха!","-"
Tobbert.TripleReinforcedPlatform.DisplayName,"Тройная Усиленная Платформа","-"
Tobbert.TripleReinforcedPlatform.Description,"Платформа, которую можно использовать в сочетании с Боковыми Платформами. Служит более эстетичной альтернативой дамбам.","-"
Tobbert.TripleReinforcedPlatform.FlavorDescription,"Складывайте, складывайте, складывайте до самого верха!","-"
Tobbert.CategoryReinforcedPlatforms.DisplayName,"Усиленные Платформы","-"
Tobbert.CategorySidePlatforms.DisplayName,"Боковые Платформы","-"
